id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,explicit,vocal_type,detailed_mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020s,false,mixed,upbeat;euphoric
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,61,2020s,false,instrumental,focused;calm
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010s,false,male,aggressive;driving
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,54,2020s,false,instrumental,calm;melancholic
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,78,2020s,true,male,aggressive;motivational
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,2010s,false,instrumental,dreamy;calm
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,49,2000s,false,instrumental,relaxed;nostalgic
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,58,2010s,false,instrumental,moody;nostalgic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,52,2020s,false,instrumental,focused;calm
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,66,2010s,false,female,upbeat;dreamy
11,Concrete Bloom,MC Solace,hip-hop,nostalgic,0.58,92,0.52,0.74,0.28,71,2010s,true,male,nostalgic;reflective
12,Autumn Sonata,Elena Voss,classical,melancholic,0.20,64,0.25,0.15,0.92,34,2000s,false,instrumental,melancholic;somber
13,Dust Road Home,Silver Pines,folk,dreamy,0.35,82,0.60,0.40,0.55,45,2010s,false,male,nostalgic;peaceful
14,Neon Uprising,Pulse Cartel,EDM,triumphant,0.90,130,0.88,0.92,0.32,80,2020s,false,mixed,euphoric;energetic
15,Velvet Static,Sable & Wine,R&B,bittersweet,0.60,96,0.45,0.70,0.55,63,2010s,false,female,bittersweet;sensual
16,Iron Verdict,Black Anvil,metal,angry,0.95,165,0.30,0.50,0.12,55,2010s,true,male,aggressive;dark
17,Front Porch Evenings,Hazel Creek,country,peaceful,0.35,98,0.68,0.55,0.45,57,2000s,false,male,peaceful;nostalgic
18,Golden Horizon,Wade & the Tides,reggae,hopeful,0.50,84,0.78,0.72,0.38,60,2010s,false,mixed,hopeful;relaxed
